County-equivalent,State,Per capita income 2008,2012,2016
Carroll,Tennessee,18330,"33,033","35,275"
Carroll,Mississippi,16897,"31,380","33,418"
Carson,Texas,26827,"42,145","45,119"
Carson City,Nevada,26264,"39,856","42,955"
Carter,Montana,24921,"28,917","29,984"
Carter,Oklahoma,21476,"28,708","30,908"
Carter,Kentucky,19204,"49,368","50,296"
Carter,Tennessee,19018,"43,184","41,406"
Carter,Missouri,18245,"30,276","31,973"
Carteret,North Carolina,27496,"42,892","46,056"
Carver,Minnesota,37457,"61,081","64,473"
Cascade,Montana,24727,"40,786","43,375"
Casey,Kentucky,15603,"26,227","27,783"
Cass,North Dakota,30529,"37,505","38,229"
Cass,Nebraska,29638,"34,793","36,690"
Cass,Missouri,27463,"42,805","44,134"
Cass,Iowa,25448,"36,950","40,294"
Cass,Minnesota,25287,"39,953","42,977"
Cass,Michigan,22743,"40,078","42,122"
Cass,Illinois,22257,"44,165","46,609"
Cass,Indiana,21700,"52,794","53,662"
Cass,Texas,20104,"33,093","33,642"
Cassia,Idaho,17801,"41,936","42,718"
Castro,Texas,19708,"52,195","46,835"
Caswell,North Carolina,17975,"30,390","32,011"
Catahoula,Louisiana,19970,"31,025","29,888"
Catawba,North Carolina,23232,"38,340","41,477"
Catoosa,Georgia,21690,"31,184","33,083"
Catron,New Mexico,20616,"31,291","32,683"
Cattaraugus,New York,22049,"35,553","37,493"
Cavalier,North Dakota,32028,"60,325","63,889"
Cayuga,New York,24702,"37,388","38,609"
Cecil,Maryland,29518,"41,713","44,165"
Cedar,Iowa,26567,"45,915","46,851"
Cedar,Nebraska,25738,"30,089","30,893"
Cedar,Missouri,16362,"51,241","51,207"
Centre,Pennsylvania,25545,"40,395","41,032"
Cerro Gordo,Iowa,27291,"51,228","53,035"
Chaffee,Colorado,27182,"37,152","39,850"
Chambers,Texas,30140,"30,310","31,925"
Chambers,Alabama,19291,"48,705","49,970"
Champaign,Illinois,25713,"41,377","42,829"
Champaign,Ohio,23358,"36,320","37,734"
Chariton,Missouri,19481,"43,829","42,163"
Charles,Maryland,37277,"50,475","53,593"
Charles City County,Virginia,26198,"39,385","40,464"
Charles Mix,South Dakota,19030,"41,949","39,670"
Charleston,South Carolina,30158,"49,743","53,272"
Charlevoix,Michigan,26947,"43,623","48,503"
Charlotte,Florida,26286,"36,638","38,473"
Charlotte,Virginia,18762,"30,403","33,255"
Charlottesville City,Virginia,27268,"22,341","25,109"
Charlton,Georgia,17102,"43,780","43,525"
Chase,Nebraska,28241,"55,313","53,606"
Chase,Kansas,21775,"41,098","43,076"
Chatham,North Carolina,31175,"51,885","53,342"
Chatham,Georgia,25093,"32,052","32,900"
Chattahoochee,Georgia,20042,"27,333","28,840"
Chattooga,Georgia,16045,"44,695","41,781"
Chautauqua,New York,22168,"34,806","36,577"
Chautauqua,Kansas,21245,"36,971","36,108"
Chaves,New Mexico,19492,"36,016","39,469"
Cheatham,Tennessee,23459,"32,775","35,600"
Cheboygan,Michigan,23412,"43,766","47,428"
Chelan,Washington,25893,"38,739","39,926"
Chemung,New York,25329,"36,470","38,366"
Chenango,New York,22097,"31,742","33,057"
Cherokee,Georgia,29615,"42,210","46,547"
Cherokee,Iowa,26330,"54,138","56,784"
Cherokee,Alabama,22030,"33,019","35,421"
Cherokee,Kansas,19580,"28,347","29,512"
Cherokee,Texas,18801,"28,368","29,609"
Cherokee,Oklahoma,18582,"28,102","30,026"
Cherokee,North Carolina,18340,"31,520","32,404"
Cherokee,South Carolina,18240,"58,500","50,438"
Cherry,Nebraska,25213,"44,925","47,302"
Chesapeake City,Virginia,29905,"44,850","48,329"
Cheshire,New Hampshire,27874,"71,861","75,281"
Chester,Pennsylvania,42210,"28,968","31,096"
Chester,Tennessee,18817,"28,527","30,506"
Chester,South Carolina,18098,"28,529","30,783"
Chesterfield,Virginia,32572,"46,408","49,546"
Chesterfield,South Carolina,17140,"51,692","50,622"
Cheyenne,Nebraska,28296,"42,352","41,583"
Cheyenne,Kansas,23677,"54,347","52,314"
Cheyenne,Colorado,23647,"47,221","50,537"
Chickasaw,Iowa,24139,"31,510","33,252"
Chickasaw,Mississippi,16677,"32,941","33,652"
