County-equivalent,State,Per capita income 2008,2012,2016
Marengo,Alabama,22072,"42,789","36,551"
Maricopa,Arizona,27256,"35,151","43,628"
Maries,Missouri,22026,"41,033","33,675"
Marin,California,56791,"32,646","115,952"
Marinette,Wisconsin,23555,"104,319","40,338"
Marion,Iowa,25477,"38,418","29,273"
Marion,Indiana,24124,"28,149","29,903"
Marion,West Virginia,23229,"27,505","34,765"
Marion,Kansas,22269,"32,765","25,673"
Marion,Oregon,22001,"23,748","38,981"
Marion,Florida,21992,"37,880","48,253"
Marion,Missouri,21909,"45,410","43,485"
Marion,Illinois,21887,"40,423","39,959"
Marion,Tennessee,21399,"37,436","34,471"
Marion,Ohio,20624,"32,613","30,541"
Marion,Texas,20337,"30,263","37,236"
Marion,Alabama,19576,"36,147","33,688"
Marion,Kentucky,18865,"31,698","38,168"
Marion,Arkansas,18188,"35,347","29,319"
Marion,Mississippi,18126,"27,516","35,307"
Marion,Georgia,17479,"33,358","33,010"
Marion,South Carolina,16531,"33,655","38,428"
Mariposa,California,26988,"38,188","49,482"
Marlboro,South Carolina,14577,"43,300","26,175"
Marquette,Michigan,23789,"24,188","38,387"
Marquette,Wisconsin,23490,"35,714","37,159"
Marshall,Minnesota,26834,"34,996","33,640"
Marshall,Illinois,25975,"32,116","41,748"
Marshall,Kansas,25262,"41,730","38,407"
Marshall,West Virginia,24329,"36,129","41,614"
Marshall,South Dakota,24205,"37,928","46,819"
Marshall,Iowa,24117,"44,468","38,069"
Marshall,Kentucky,22381,"36,445","48,686"
Marshall,Indiana,21933,"46,082","30,861"
Marshall,Tennessee,20739,"28,759","34,453"
Marshall,Alabama,20382,"33,617","43,286"
Marshall,Oklahoma,19583,"47,317","34,075"
Marshall,Mississippi,17978,"32,042","36,298"
Martin,Florida,34057,"36,046","73,296"
Martin,Minnesota,26472,"70,155","39,111"
Martin,Indiana,22817,"37,190","27,618"
Martin,Texas,20859,"26,968","47,255"
Martin,North Carolina,18783,"46,720","35,666"
Martin,Kentucky,15525,"33,669","47,612"
Martinsville City,Virginia,19900,"53,604","37,870"
Mason,Texas,27504,"37,672","37,287"
Mason,Washington,23542,"35,359","38,074"
Mason,Kentucky,23347,"36,005","37,632"
Mason,Illinois,23199,"41,578","37,986"
Mason,Michigan,23183,"35,725","30,307"
Mason,West Virginia,20622,"28,654","35,133"
Massac,Illinois,22047,"34,310","39,090"
Matagorda,Texas,23389,"38,613","44,880"
Matanuska-Susitna,Alaska,29534,"45,352","51,336"
Mathews,Virginia,31342,"49,323","44,478"
Maui,Hawaii,29517,"40,488","38,207"
Maury,Tennessee,22766,"36,234","27,228"
Maverick,Texas,13668,"25,820","35,855"
Mayes,Oklahoma,20585,"34,799","41,257"
McClain,Oklahoma,25293,"42,837","43,988"
McCone,Montana,27161,"50,007","46,135"
McCook,South Dakota,26505,"44,944","34,967"
McCormick,South Carolina,22150,"32,033","45,927"
McCracken,Kentucky,25957,"42,365","23,320"
McCreary,Kentucky,11818,"21,803","35,871"
McCulloch,Texas,20677,"38,549","30,366"
McCurtain,Oklahoma,17615,"29,958","26,285"
McDonald,Missouri,17505,"26,430","34,587"
McDonough,Illinois,20042,"34,746","31,479"
McDowell,North Carolina,18932,"29,351","27,401"
McDowell,West Virginia,14093,"26,745","33,592"
McDuffie,Georgia,17922,"31,394","50,252"
McHenry,Illinois,32341,"47,425","48,094"
McHenry,North Dakota,28331,"50,834","27,398"
McIntosh,North Dakota,25427,"24,917","49,668"
McIntosh,Georgia,21484,"48,198","32,093"
McIntosh,Oklahoma,19100,"31,858","39,416"
McKean,Pennsylvania,22426,"39,509","64,369"
McKenzie,North Dakota,33078,"87,474","25,688"
McKinley,New Mexico,12679,"24,408","45,718"
McLean,North Dakota,30992,"43,773","36,565"
McLean,Illinois,30460,"38,528","57,686"
McLean,Kentucky,19984,"58,953","38,125"
McLennan,Texas,21660,"35,757","43,559"
McLeod,Minnesota,26824,"42,742","33,942"
McMinn,Tennessee,19744,"31,858","104,531"
McMullen,Texas,27375,"100,086","30,003"
McNairy,Tennessee,18428,"28,193","48,563"
McPherson,Kansas,27462,"47,915","53,349"
McPherson,Nebraska,25339,"78,112","32,800"
McPherson,South Dakota,22596,"39,856","61,880"
Meade,South Dakota,25375,"60,874","36,732"
Meade,Kansas,21990,"32,895","39,190"
Meade,Kentucky,20898,"37,808","42,170"
Meagher,Montana,20288,"42,388","54,087"
Mecklenburg,North Carolina,32482,"50,031","34,723"
Mecklenburg,Virginia,20056,"32,372","30,441"
Mecosta,Michigan,19336,"28,408","50,373"
Medina,Ohio,30707,"47,137","37,190"
Medina,Texas,22413,"35,597","41,449"
Meeker,Minnesota,25665,"39,044","30,472"
Meigs,Tennessee,19403,"29,151","30,712"
Meigs,Ohio,18816,"29,782","23,106"
Mellette,South Dakota,15760,"30,598","41,609"
Menard,Illinois,28330,"39,571","33,907"
Menard,Texas,18253,"33,649","45,436"
Mendocino,California,23306,"42,051","28,753"
Menifee,Kentucky,15942,"27,691","38,931"
Menominee,Michigan,22331,"37,244","27,907"
Menominee,Wisconsin,14710,"25,595","36,804"
Merced,California,18177,"34,895","41,119"
Mercer,New Jersey,37465,"40,536","34,576"
Mercer,North Dakota,31767,"32,864","29,994"
Mercer,Illinois,26620,"37,820","63,237"
Mercer,Ohio,24157,"61,046","57,946"
Mercer,Kentucky,24138,"52,547","44,139"
Mercer,Pennsylvania,22831,"44,918","38,872"
Mercer,West Virginia,20391,"36,455","34,063"
Mercer,Missouri,20178,"33,161","32,091"
Meriwether,Georgia,18821,"30,481","53,353"
Merrick,Nebraska,24639,"48,022","53,359"
Merrimack,New Hampshire,31310,"51,667","39,118"
Mesa,Colorado,26700,"38,627","28,884"
Metcalfe,Kentucky,17171,"27,941","32,343"
Miami,Kansas,28412,"30,990","44,202"
Miami,Ohio,25369,"41,600","42,985"
Miami,Indiana,20475,"41,200","45,440"
Miami-Dade,Florida,23174,"41,734","62,833"
Middlesex,Massachusetts,42861,"60,456","75,869"
Middlesex,Connecticut,39992,"69,929","55,980"
Middlesex,New Jersey,34345,"52,071","46,594"
Middlesex,Virginia,30531,"43,389","41,310"
Midland,Texas,33672,"44,133","105,486"
Midland,Michigan,29536,"120,577","35,717"
Mifflin,Pennsylvania,20794,"33,741","36,201"
Milam,Texas,21248,"35,667","32,080"
Millard,Utah,19972,"32,197","38,091"
Mille Lacs,Minnesota,22891,"35,844","32,138"
Miller,Arkansas,20636,"30,559","36,610"
Miller,Georgia,19674,"34,055","30,794"
Miller,Missouri,19385,"29,359","50,325"
Mills,Iowa,27101,"47,955","36,072"
Mills,Texas,22651,"34,817","43,375"
Milwaukee,Wisconsin,24295,"41,530","44,126"
Miner,South Dakota,31288,"43,716","62,466"
Mineral,Colorado,42255,"54,560","33,617"
Mineral,Nevada,23146,"31,446","40,494"
Mineral,Montana,19859,"37,349","36,836"
Mineral,West Virginia,19788,"34,581","28,162"
Mingo,West Virginia,20609,"29,484","37,542"
Minidoka,Idaho,19597,"35,999","51,167"
Minnehaha,South Dakota,26380,"47,941","31,896"
Missaukee,Michigan,20305,"30,980","32,145"
Mississippi County,Arkansas,18905,"31,342","30,949"
Mississippi County,Missouri,15558,"30,849","44,134"
Missoula,Montana,25764,"39,447","34,351"
Mitchell,Kansas,26911,"30,228","47,400"
Mitchell,Iowa,24518,"43,974","53,007"
Mitchell,North Carolina,21404,"52,522","32,095"
Mitchell,Texas,15936,"30,217","30,812"
Mitchell,Georgia,15694,"31,589","35,951"
Mobile,Alabama,22501,"34,132","43,354"
Modoc,California,21200,"40,144","39,244"
Moffat,Colorado,24577,"38,516","30,045"
Mohave,Arizona,20833,"28,324","32,803"
Moniteau,Missouri,19451,"33,643","71,237"
Monmouth,New Jersey,42749,"66,682","48,166"
Mono,California,28046,"44,808","46,419"
Monona,Iowa,24557,"42,282","40,949"
Monongalia,West Virginia,25846,"40,035","32,219"
Monroe,Florida,33974,"29,781","36,461"
Monroe,Illinois,31758,"33,854","74,230"
Monroe,New York,28732,"72,630","41,516"
Monroe,Michigan,25939,"38,757","52,318"
Monroe,Pennsylvania,25494,"49,509","37,076"
Monroe,Iowa,24508,"33,983","38,114"
Monroe,Wisconsin,23456,"38,211","31,833"
Monroe,Indiana,23032,"31,305","43,263"
Monroe,Georgia,22888,"39,623","33,437"
Monroe,Ohio,21487,"31,311","38,145"
Monroe,Missouri,20331,"39,750","48,223"
Monroe,West Virginia,20294,"45,568","29,925"
Monroe,Tennessee,19643,"30,745","39,104"
Monroe,Mississippi,18167,"36,416","31,512"
Monroe,Arkansas,16939,"28,860","28,409"
Monroe,Kentucky,16656,"28,521","38,566"
Monroe,Alabama,15749,"36,247","43,320"
Montague,Texas,24699,"47,400","31,981"
Montcalm,Michigan,18969,"29,473","52,448"
Monterey,California,24775,"47,107","37,481"
Montezuma,Colorado,23548,"37,894","41,404"
Montgomery,Maryland,49038,"38,960","28,051"
Montgomery,Pennsylvania,41472,"27,275","28,150"
Montgomery,Texas,32911,"25,868","34,447"
Montgomery,Ohio,24997,"33,878","39,783"
Montgomery,Alabama,24975,"37,643","40,126"
Montgomery,Virginia,23548,"38,960","36,770"
Montgomery,New York,23417,"37,554","32,866"
Montgomery,Iowa,22868,"31,779","80,967"
Montgomery,Indiana,22679,"73,698","34,078"
Montgomery,Tennessee,22380,"31,950","35,027"
Montgomery,Kansas,21332,"33,449","38,853"
Montgomery,Missouri,20991,"36,752","34,330"
Montgomery,Kentucky,20436,"32,840","43,051"
Montgomery,Illinois,19917,"40,805","72,780"
Montgomery,Arkansas,19021,"69,282","39,176"
Montgomery,North Carolina,18865,"38,439","56,730"
Montgomery,Georgia,16460,"63,270","33,650"
Montgomery,Mississippi,15523,"31,826","35,274"
Montmorency,Michigan,19661,"31,835","51,877"
Montour,Pennsylvania,29600,"49,264","35,714"
Montrose,Colorado,22897,"33,557","46,738"
Moody,South Dakota,27682,"46,719","35,768"
Moore,North Carolina,28913,"33,456","29,456"
Moore,Tennessee,23307,"26,789","45,181"
Moore,Texas,19770,"43,172","37,415"
Mora,New Mexico,20543,"36,911","36,467"
Morehouse,Louisiana,16683,"35,483","40,421"
Morgan,Utah,26274,"43,610","36,114"
Morgan,Georgia,25933,"33,456","36,746"
Morgan,Indiana,25781,"35,233","40,280"
Morgan,Illinois,24337,"39,737","43,769"
Morgan,Alabama,23764,"40,672","37,639"
Morgan,West Virginia,22312,"36,191","40,417"
Morgan,Ohio,21027,"38,392","24,466"
Morgan,Colorado,20680,"23,231","39,397"
Morgan,Missouri,17935,"38,890","30,061"
Morgan,Tennessee,17747,"29,649","27,978"
Morgan,Kentucky,16233,"25,728","45,755"
Morrill,Nebraska,22543,"43,082","33,201"
Morris,New Jersey,48814,"31,905","54,533"
Morris,Kansas,24680,"54,508","45,171"
Morris,Texas,20045,"43,821","89,065"
Morrison,Minnesota,23753,"83,687","39,979"
Morrow,Ohio,22228,"41,755","38,149"
Morrow,Oregon,20663,"37,355","34,591"
Morton,North Dakota,29389,"33,234","41,631"
Morton,Kansas,22378,"41,940","42,802"
Motley,Texas,18828,"42,908","49,614"
Moultrie,Illinois,23786,"48,712","30,558"
Mountrail,North Dakota,33803,"35,555","51,145"
Mower,Minnesota,24990,"54,433","61,809"
Muhlenberg,Kentucky,20008,"79,724","44,274"
Multnomah,Oregon,30475,"40,460","30,656"
Murray,Minnesota,27450,"31,145","51,508"
Murray,Oklahoma,21870,"47,247","27,904"
Murray,Georgia,16449,"26,242","53,013"
Muscatine,Iowa,25038,"53,230","38,462"
Muscogee,Georgia,22856,"39,790","43,426"
Muskegon,Michigan,20621,"42,203","40,620"
Muskingum,Ohio,20775,"37,258","35,641"
Muskogee,Oklahoma,19868,"32,936","37,931"
Musselshell,Montana,23022,"36,309","34,415"
Nacogdoches,Texas,20362,"32,934","38,443"
Nance,Nebraska,23684,"37,777","33,812"
Nantucket,Massachusetts,47331,"32,829","43,479"
Napa,California,34795,"46,382","108,443"
Nash,North Carolina,22880,"100,510","65,805"
Nassau,New York,42400,"58,316","39,875"
Nassau,Florida,28926,"37,824","51,924"
Natchitoches,Louisiana,20802,"48,520","79,314"
Natrona,Wyoming,29877,"74,950","35,543"
Navajo,Arizona,16626,"33,603","69,087"
Navarro,Texas,20327,"71,754","29,408"
Nelson,North Dakota,30432,"27,589","35,443"
Nelson,Virginia,26059,"34,399","38,381"
Nelson,Kentucky,23545,"35,788","54,713"
Nemaha,Nebraska,25269,"51,557","45,323"
Nemaha,Kansas,24550,"42,470","52,882"
Neosho,Kansas,21163,"52,939","47,179"
Neshoba,Mississippi,18693,"44,350","32,715"
Ness,Kansas,30223,"31,577","34,205"
Nevada County,California,32346,"34,885","50,894"
Nevada County,Arkansas,18695,"53,875","33,393"
New Castle,Delaware,32406,"31,683","56,194"
New Hanover,North Carolina,29679,"52,680","51,034"
New Haven,Connecticut,32523,"48,292","42,262"
New Kent,Virginia,32068,"39,415","52,603"
New London,Connecticut,33782,"49,996","58,802"
New Madrid,Missouri,21215,"52,407","53,885"
New York County,New York,62498,"50,712","31,128"
Newaygo,Michigan,20623,"32,181","156,048"
Newberry,South Carolina,21591,"150,137","34,466"
Newport,Rhode Island,40293,"31,816","35,718"
Newport News City,Virginia,25310,"33,385","61,367"
Newton,Indiana,25594,"59,370","40,967"
Newton,Missouri,22341,"38,825","26,897"
Newton,Georgia,21484,"26,300","31,347"
Newton,Texas,20431,"29,129","37,099"
Newton,Mississippi,18864,"36,387","31,742"
Newton,Arkansas,17884,"32,330","35,544"
Nez Perce,Idaho,24257,"34,989","30,643"
Niagara,New York,25991,"29,216","40,723"
Nicholas,West Virginia,23209,"37,719","41,954"
Nicholas,Kentucky,20450,"39,453","31,326"
Nicollet,Minnesota,26674,"30,727","31,296"
Niobrara,Wyoming,26797,"31,565","45,777"
Noble,Oklahoma,21947,"43,988","45,046"
Noble,Indiana,21889,"50,588","35,856"
Noble,Ohio,18853,"34,316","29,673"
Nobles,Minnesota,22598,"28,145","39,370"
Nodaway,Missouri,18079,"39,987","42,329"
Nolan,Texas,19002,"42,581","30,591"
Nome Census Area,Alaska,20271,"29,861","37,774"
Norfolk,Massachusetts,44692,"36,617","50,254"
Norfolk City,Virginia,24659,"47,198","81,948"
Norman,Minnesota,23707,"76,552","38,484"
North Slope,Alaska,46457,"37,010","43,065"
Northampton,Pennsylvania,29266,"43,333","37,332"
Northampton,Virginia,23473,"36,033","40,678"
Northampton,North Carolina,17919,"38,765","48,650"
Northumberland,Virginia,28568,"45,924","49,769"
Northumberland,Pennsylvania,22478,"45,678","38,733"
Northwest Arctic,Alaska,21461,"36,449","38,764"
Norton,Kansas,22942,"36,343","44,653"
Norton City,Virginia,22699,"42,296","48,039"
Nottoway,Virginia,19337,"46,057","40,460"
Nowata,Oklahoma,19256,"41,290","36,294"
Noxubee,Mississippi,12780,"34,255","33,749"
Nuckolls,Nebraska,22448,"34,276","31,918"
Nueces,Texas,23671,"31,195","43,362"
Nye,Nevada,21838,"42,951","40,800"
Oakland,Michigan,36458,"41,768","35,694"
Obion,Tennessee,20900,"33,245","65,759"
O'Brien,Iowa,28086,"60,610","36,729"
Ocean,New Jersey,30477,"35,380","56,118"
Oceana,Michigan,18986,"54,579","47,413"
Ochiltree,Texas,23382,"44,354","34,771"
Oconee,Georgia,33801,"32,638","59,176"
Oconee,South Carolina,23904,"74,676","58,811"
Oconto,Wisconsin,25941,"53,844","38,863"
Ogemaw,Michigan,19634,"36,596","41,614"
Oglala Lakota,South Dakota,8768,"39,813","31,566"
Ogle,Illinois,26635,"29,736","23,194"
Oglethorpe,Georgia,20493,"23,509","41,616"
Ohio County,West Virginia,26135,"40,143","33,400"
Ohio County,Indiana,25443,"33,000","37,059"
Ohio County,Kentucky,19005,"34,472","31,588"
Okaloosa,Florida,28600,"30,791","48,607"
Okanogan,Washington,20735,"47,678","46,836"
Okeechobee,Florida,17787,"44,332","39,912"
Okfuskee,Oklahoma,16528,"36,081","29,106"
Oklahoma County,Oklahoma,26561,"28,528","28,405"
Okmulgee,Oklahoma,19753,"28,503","47,583"
Oktibbeha,Mississippi,20202,"46,830","31,787"
Oldham,Kentucky,33591,"31,541","31,408"
Oldham,Texas,22519,"29,838","56,222"
Oliver,North Dakota,32253,"51,313","44,717"
Olmsted,Minnesota,34073,"51,196","47,453"
Oneida,Wisconsin,27041,"46,258","52,571"
Oneida,New York,25103,"49,020","32,085"
Oneida,Idaho,18920,"30,637","40,236"
Onondaga,New York,28746,"38,250","46,675"
Onslow,North Carolina,21084,"44,678","47,865"
Ontario,New York,29904,"44,800","47,517"
Ontonagon,Michigan,21585,"44,078","49,477"
Orange,North Carolina,34465,"45,544","35,033"
Orange,California,34057,"32,224","62,071"
Orange,New York,30583,"55,699","41,515"
Orange,Virginia,27655,"38,112","35,563"
Orange,Vermont,27289,"33,168","47,284"
Orange,Florida,24877,"44,874","58,438"
Orange,Texas,24736,"54,540","41,509"
Orange,Indiana,18576,"39,825","43,531"
Orangeburg,South Carolina,17687,"41,691","43,679"
Oregon County,Missouri,16331,"40,603","31,575"
Orleans,Louisiana,26500,"29,350","26,094"
Orleans,Vermont,22303,"25,740","47,013"
Orleans,New York,22255,"45,212","35,039"
Osage,Kansas,24789,"33,352","41,324"
Osage,Missouri,22629,"39,848","39,372"
Osage,Oklahoma,22353,"37,805","43,561"
Osborne,Kansas,26313,"41,582","32,184"
Osceola,Iowa,24653,"33,429","41,519"
Osceola,Florida,19007,"41,777","30,655"
Osceola,Michigan,18099,"28,494","54,180"
Oscoda,Michigan,18057,"58,218","32,901"
Oswego,New York,23126,"30,558","33,076"
Otero,New Mexico,19880,"31,325","36,865"
Otero,Colorado,19078,"34,914","34,271"
Otoe,Nebraska,25855,"33,126","34,686"
Otsego,Michigan,24312,"33,102","44,797"
Otsego,New York,24165,"42,543","35,792"
Ottawa,Ohio,27979,"33,617","38,727"
Ottawa,Kansas,26614,"36,819","39,886"
Ottawa,Michigan,25371,"36,627","44,035"
Ottawa,Oklahoma,18331,"40,743","46,610"
Otter Tail,Minnesota,26400,"43,815","34,289"
Ouachita,Louisiana,21917,"32,679","43,545"
Ouachita,Arkansas,18975,"42,528","34,382"
Ouray,Colorado,33015,"32,506","38,217"
Outagamie,Wisconsin,28186,"35,210","51,000"
Overton,Tennessee,18347,"49,865","46,814"
Owen,Kentucky,23991,"43,926","30,197"
Owen,Indiana,21318,"28,826","35,878"
Owsley,Kentucky,13611,"32,647","34,892"
Owyhee,Idaho,15945,"32,507","27,802"
Oxford,Maine,21441,"26,783","32,118"
Ozark,Missouri,17215,"32,255","35,633"
Ozaukee,Wisconsin,42041,"33,599","27,239"
Pacific,Washington,23888,"26,998","73,944"
Page,Iowa,23496,"71,108","42,039"
Page,Virginia,22355,"40,722","40,835"
Palm Beach,Florida,32858,"38,800","36,716"
Palo Alto,Iowa,25055,"34,471","71,946"
Palo Pinto,Texas,23655,"67,182","50,089"
Pamlico,North Carolina,23724,"53,835","37,361"
Panola,Texas,26525,"36,973","39,786"
Panola,Mississippi,18073,"36,992","30,973"
Park,Colorado,31504,"29,704","37,930"
Park,Wyoming,27824,"41,284","40,343"
Park,Montana,24611,"37,581","45,647"
Parke,Indiana,20534,"42,286","50,212"
Parker,Texas,30692,"48,227","33,721"
Parmer,Texas,19304,"30,425","48,692"
Pasco,Florida,23736,"48,157","41,577"
Pasquotank,North Carolina,22745,"48,911","37,083"
Passaic,New Jersey,27152,"34,911","36,330"
Patrick,Virginia,18860,"34,560","47,547"
Paulding,Georgia,24168,"45,053","31,682"
Paulding,Ohio,22714,"29,480","34,167"
Pawnee,Nebraska,25426,"31,571","36,545"
Pawnee,Kansas,23230,"36,305","40,001"
Pawnee,Oklahoma,21220,"41,238","46,089"
Payette,Idaho,19165,"46,837","33,107"
Payne,Oklahoma,20868,"33,507","36,818"
Peach,Georgia,19431,"34,399","35,896"
Pearl River,Mississippi,20549,"36,843","36,079"
Pecos,Texas,20245,"33,391","33,964"
Pembina,North Dakota,27817,"32,496","31,851"
Pemiscot,Missouri,16881,"32,922","55,878"
Pend Oreille,Washington,23167,"51,397","34,047"
Pender,North Carolina,23526,"33,298","36,911"
Pendleton,Kentucky,23122,"34,579","33,674"
Pendleton,West Virginia,21253,"32,264","34,406"
Pennington,South Dakota,27000,"32,467","34,931"
Pennington,Minnesota,24554,"34,442","48,997"
Penobscot,Maine,23895,"47,640","46,755"
Peoria,Illinois,28438,"45,104","37,876"
Pepin,Wisconsin,24367,"35,584","47,673"
Perkins,Nebraska,27931,"46,144","44,954"
Perkins,South Dakota,25751,"43,099","50,035"
Perquimans,North Carolina,23809,"57,967","38,373"
Perry,Pennsylvania,26048,"42,914","37,667"
Perry,Missouri,23435,"35,914","30,099"
Perry,Arkansas,22047,"27,779","32,773"
Perry,Indiana,20934,"31,123","35,837"
Perry,Illinois,19716,"35,666","35,788"
Perry,Ohio,19372,"34,169","34,532"
Perry,Kentucky,18224,"34,078","28,397"
Perry,Tennessee,17214,"27,347","36,269"
Perry,Mississippi,17183,"35,164","34,299"
Perry,Alabama,13716,"32,158","40,573"
Pershing,Nevada,18203,"38,571","29,390"
Person,North Carolina,21292,"27,689","30,763"
Petersburg Census Area,Alaska,34183,"30,378","35,359"
Petersburg City,Virginia,18936,"34,153","62,773"
Petroleum,Montana,22714,"63,972","49,505"
Pettis,Missouri,19709,"54,856","35,853"
Phelps,Nebraska,26856,"34,878","34,489"
Phelps,Missouri,21173,"32,129","59,553"
Philadelphia,Pennsylvania,22279,"57,670","51,645"
Phillips,Kansas,23772,"48,311","31,486"
Phillips,Montana,22890,"31,267","42,762"
Phillips,Colorado,20720,"41,956","45,511"
Phillips,Arkansas,16830,"47,773","37,247"
Piatt,Illinois,31190,"36,241","45,991"
Pickaway,Ohio,23851,"45,876","36,839"
Pickens,Georgia,26686,"35,589","29,966"
Pickens,South Carolina,21182,"30,142","41,987"
Pickens,Alabama,17153,"39,393","34,835"
Pickett,Tennessee,21942,"32,813","37,567"
Pierce,Washington,28223,"32,378","32,943"
Pierce,Wisconsin,27462,"30,055","54,999"
Pierce,Nebraska,24830,"56,272","45,061"
Pierce,North Dakota,23491,"40,865","46,706"
Pierce,Georgia,20001,"43,456","43,314"
Pike,Pennsylvania,27691,"41,142","35,287"
Pike,Indiana,22245,"33,898","30,388"
Pike,Georgia,22191,"29,682","35,496"
Pike,Illinois,21344,"33,016","37,720"
Pike,Ohio,20071,"38,238","36,589"
Pike,Alabama,19715,"35,349","33,078"
Pike,Kentucky,19351,"32,219","30,169"
Pike,Missouri,18650,"30,115","32,931"
Pike,Arkansas,18377,"32,415","32,985"
Pike,Mississippi,18183,"32,114","42,332"
Pima,Arizona,25269,"38,813","39,541"
Pinal,Arizona,20910,"37,780","27,930"
Pine,Minnesota,21413,"26,615","34,379"
Pinellas,Florida,29262,"32,098","49,186"
Pipestone,Minnesota,24137,"46,127","50,828"
Piscataquis,Maine,21818,"52,756","35,426"
Pitkin,Colorado,51814,"33,553","128,738"
Pitt,North Carolina,23029,"125,498","37,943"
Pittsburg,Oklahoma,21966,"35,995","36,040"
Pittsylvania,Virginia,21583,"34,507","35,326"
Piute,Utah,16959,"32,858","28,104"
Placer,California,34886,"25,020","60,360"
Plaquemines,Louisiana,25748,"55,335","46,657"
Platte,Missouri,35143,"45,484","53,381"
Platte,Wyoming,26335,"49,663","45,692"
Platte,Nebraska,24219,"44,747","43,532"
Pleasants,West Virginia,21312,"44,261","39,069"
Plumas,California,29806,"37,374","48,976"
Plymouth,Massachusetts,35220,"46,348","55,179"
Plymouth,Iowa,27942,"52,190","60,691"
Pocahontas,Iowa,25556,"56,018","50,549"
Pocahontas,West Virginia,20373,"51,201","34,591"
Poinsett,Arkansas,16919,"32,979","30,326"
Pointe Coupee,Louisiana,23742,"29,823","41,183"
Polk,Iowa,30442,"40,327","28,672"
Polk,Nebraska,27639,"29,074","34,199"
Polk,Minnesota,25790,"33,061","30,002"
Polk,Wisconsin,25751,"28,112","49,577"
Polk,North Carolina,24611,"47,039","45,345"
Polk,Oregon,24426,"44,053","30,526"
Polk,Florida,21285,"30,123","49,469"
Polk,Tennessee,20274,"48,950","42,611"
Polk,Missouri,19511,"40,747","37,818"
Polk,Texas,19498,"35,043","32,101"
Polk,Arkansas,19116,"30,584","36,231"
Polk,Georgia,18336,"35,710","42,276"
Pondera,Montana,22256,"40,129","39,017"
Pontotoc,Oklahoma,22381,"38,501","30,762"
Pontotoc,Mississippi,18576,"28,898","40,622"
Pope,Minnesota,29128,"38,954","33,331"
Pope,Illinois,20448,"32,119","30,338"
Pope,Arkansas,19918,"30,169","46,981"
Poquoson City,Virginia,38444,"45,505","40,730"
Portage,Ohio,25332,"38,703","42,386"
Portage,Wisconsin,24972,"39,621","46,965"
Porter,Indiana,28669,"44,319","39,170"
Portsmouth City,Virginia,23138,"37,338","44,931"
Posey,Indiana,29187,"44,358","48,860"
Pottawatomie,Kansas,24892,"46,605","35,179"
Pottawatomie,Oklahoma,20937,"35,207","42,098"
Pottawattamie,Iowa,25847,"39,181","36,338"
Potter,South Dakota,26180,"34,318","76,181"
Potter,Pennsylvania,22564,"100,412","41,868"
Potter,Texas,19861,"40,731","36,066"
Powder River,Montana,28528,"36,398","30,451"
Powell,Montana,19736,"28,401","36,959"
Powell,Kentucky,15174,"34,386","36,360"
Power,Idaho,17684,"33,751","43,876"
Poweshiek,Iowa,25318,"42,961","50,490"
Powhatan,Virginia,31252,"45,821","33,415"
Prairie,Montana,20644,"33,690","38,146"
Prairie,Arkansas,18137,"38,212","45,604"
Pratt,Kansas,26209,"46,521","37,099"
Preble,Ohio,23374,"35,536","29,515"
Prentiss,Mississippi,16589,"27,899","34,960"
Presidio,Texas,16175,"33,913","35,637"
Presque Isle,Michigan,22788,"32,597","33,059"
Preston,West Virginia,21457,"32,221","44,123"
Price,Wisconsin,23723,"41,829","30,149"
Prince Edward,Virginia,17208,"27,612","37,561"
Prince George,Virginia,24434,"35,584","46,168"
Prince George's,Maryland,32344,"43,414","40,750"
Prince of Wales-Hyder Census Area,Alaska,24581,"38,921","51,164"
Prince William,Virginia,37401,"48,625","44,630"
Providence,Rhode Island,26308,"42,415","38,812"
Prowers,Colorado,18941,"36,257","36,148"
Pueblo,Colorado,21940,"33,775","47,834"
Pulaski,Arkansas,27414,"45,036","27,326"
Pulaski,Virginia,23987,"25,590","35,537"
Pulaski,Indiana,21641,"34,053","41,309"
Pulaski,Missouri,20863,"39,546","35,884"
Pulaski,Kentucky,20667,"33,835","38,896"
Pulaski,Illinois,19867,"37,811","37,219"
Pulaski,Georgia,17781,"35,090","30,380"
Pushmataha,Oklahoma,18542,"28,217","29,182"
Putnam,New York,40309,"27,454","33,840"
Putnam,West Virginia,27957,"32,240","47,409"
Putnam,Illinois,27074,"49,700","34,742"
Putnam,Georgia,26321,"32,402","32,281"
Putnam,Ohio,25481,"37,529","59,693"
Putnam,Indiana,21520,"56,596","44,953"
Putnam,Tennessee,20517,"42,803","37,218"
Putnam,Missouri,19397,"34,685","42,222"
Putnam,Florida,18377,"40,742","36,063"
Quay,New Mexico,17936,"34,804","57,948"
Queen Anne's,Maryland,38108,"54,669","43,467"
Queens,New York,26495,"40,437","27,531"
Quitman,Georgia,14201,"26,657","28,993"
Quitman,Mississippi,13954,"27,659","37,215"
Rabun,Georgia,22260,"34,170","44,813"
Racine,Wisconsin,27141,"41,953","32,899"
Radford City,Virginia,16181,"30,896","35,280"
Rains,Texas,21946,"34,855","38,133"
Raleigh,West Virginia,21837,"37,620","49,785"
Ralls,Missouri,23299,"46,900","49,673"
Ramsey,Minnesota,29484,"46,368","45,294"
Ramsey,North Dakota,28081,"43,695","32,160"
Randall,Texas,29124,"31,562","31,265"
